recordId(记录编号),sessionId(会话编号),exerciseId(动作编号),setNumber(组数),weight(重量kg),reps(次数),duration(持续时间秒),note(备注)
1,1,1,1,0.00,12,0,
2,1,1,2,0.00,12,0,
3,1,1,3,0.00,12,0,
4,1,1,4,0.00,6,0,
5,1,1,5,0.00,6,0,
6,1,1,6,0.00,4,0,
7,1,1,7,0.00,4,0,
8,1,2,1,0.00,20,0,
9,1,2,2,0.00,20,0,
10,1,2,3,0.00,20,0,
20,3,5,1,7.50,8,0,
21,3,5,2,7.50,8,0,
22,3,5,3,7.50,8,0,
23,3,5,4,7.50,8,0,
24,3,5,5,7.50,8,0,
25,4,6,1,0.00,12,0,
26,4,6,2,0.00,12,0,
27,4,6,3,0.00,12,0,
28,4,7,1,0.00,12,0,
29,4,7,2,0.00,12,0,
30,4,7,3,0.00,12,0,
31,4,8,1,0.00,13,0,
32,4,8,2,0.00,13,0,
33,4,8,3,0.00,13,0,
34,5,1,1,0.00,12,0,
35,5,1,2,0.00,12,0,
36,5,1,3,0.00,12,0,
37,5,1,4,0.00,8,0,
38,5,1,5,0.00,8,0,
39,5,1,6,0.00,8,0,
40,5,1,7,0.00,6,0,
41,5,1,8,0.00,6,0,
42,5,1,9,0.00,6,0,
43,6,3,1,0.00,0,35,
44,6,3,2,0.00,0,35,
45,6,3,3,0.00,0,35,
46,6,3,4,0.00,0,35,
47,6,3,5,0.00,0,35,
48,6,3,6,0.00,0,35,
49,7,5,1,2.50,8,0,
50,7,5,2,2.50,8,0,
51,7,5,3,7.50,8,0,
52,7,5,4,7.50,8,0,
53,7,5,5,6.00,8,0,
54,7,5,6,6.00,8,0,
88,9,3,1,0.00,1,40,
89,9,3,2,0.00,1,40,
90,9,3,3,0.00,1,40,
91,9,3,4,0.00,1,30,
92,9,3,5,0.00,1,30,
93,9,3,6,0.00,1,30,
94,9,4,1,0.00,1,20,
95,9,4,2,0.00,1,20,
96,9,4,3,0.00,1,20,
97,10,1,1,0.00,12,0,
98,10,1,2,0.00,12,0,
99,10,1,3,0.00,12,0,
100,10,1,4,0.00,8,0,
101,10,1,5,0.00,8,0,
102,10,1,6,0.00,6,0,
103,10,2,1,0.00,16,0,
104,10,2,2,0.00,24,0,
105,10,2,3,0.00,20,0,
106,11,6,1,0.00,14,0,
107,11,6,2,0.00,14,0,
108,11,6,3,0.00,14,0,
109,11,7,1,0.00,14,0,
110,11,7,2,0.00,14,0,
111,11,7,3,0.00,14,0,
112,11,8,1,0.00,14,0,
113,11,8,2,0.00,14,0,
114,11,8,3,0.00,14,0,
118,13,5,1,7.50,8,0,
119,13,5,2,7.50,8,0,
120,13,5,3,10.00,8,0,
121,13,5,4,10.00,8,0,
122,13,9,1,0.00,8,0,
123,13,9,2,0.00,8,0,
124,13,9,3,0.00,6,0,
125,13,9,4,0.00,6,0,
126,13,10,1,0.00,24,0,
127,14,11,1,0.00,12,0,
128,14,11,2,0.00,12,0,
129,14,11,3,0.00,8,0,
130,15,3,1,0.00,1,40,
131,15,3,2,0.00,1,32,
132,15,3,3,0.00,1,32,
133,15,4,1,0.00,1,20,
134,15,4,2,0.00,1,20,
135,15,4,3,0.00,1,20,
136,16,3,1,0.00,1,20,
137,16,3,2,0.00,1,32,
138,16,3,3,0.00,1,32,
139,16,4,1,0.00,1,20,
140,16,4,2,0.00,1,20,
141,16,4,3,0.00,1,20,
142,17,5,1,7.50,8,0,
143,17,5,2,7.50,8,0,
144,17,5,3,10.00,8,0,
145,17,5,4,10.00,8,0,
146,17,5,5,10.00,8,0,
147,17,5,6,10.00,8,0,
148,17,5,7,7.50,8,0,
149,17,5,8,7.50,8,0,
150,17,9,1,0.00,10,0,
151,17,9,2,0.00,8,0,
152,17,9,3,0.00,8,0,
153,17,9,4,0.00,6,0,
154,17,10,1,0.00,20,0,
155,18,11,1,0.00,12,0,
156,18,11,2,0.00,12,0,
157,18,11,3,0.00,12,0,
158,18,12,1,0.00,8,0,
159,18,12,2,0.00,8,0,
